銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
信越ポリマー(株),7970,東証1部,化学,2010年11月2日,422円買い,2010年12月29日,517円売り,95円,22.51%(1.23倍)
(株)岩手銀行,8345,東証1部,銀行業,2010年10月28日,3315円買い,2010年12月16日,4060円売り,745円,22.47%(1.22倍)
(株)イオンファンタジー,4343,東証1部,サービス業,2010年9月17日,784円買い,2010年12月30日,960円売り,176円,22.45%(1.22倍)
鹿島,1812,東証1部,建設業,2010年10月13日,183円買い,2010年12月8日,224円売り,41円,22.4%(1.22倍)
協栄産業(株),6973,東証1部,卸売業,2010年10月26日,143円買い,2010年12月14日,175円売り,32円,22.38%(1.22倍)
(株)ドワンゴ,3715,東証1部,情報・通信業,2010年5月26日,711円買い,2010年9月6日,870円売り,159円,22.36%(1.22倍)
大和冷機工業(株),6459,東証1部,機械,2010年11月2日,349円買い,2010年12月20日,427円売り,78円,22.35%(1.22倍)
ゼビオ(株),8281,東証1部,小売業,2010年9月1日,1493円買い,2010年12月15日,1826円売り,333円,22.3%(1.22倍)
日立キャピタル(株),8586,東証1部,その他金融業,2010年10月28日,1040円買い,2010年12月29日,1271円売り,231円,22.21%(1.22倍)
(株)オービック,4684,東証1部,情報・通信業,2010年10月26日,1373円買い,2010年12月27日,1678円売り,305円,22.21%(1.22倍)
伊藤忠エネクス(株),8133,東証1部,卸売業,2010年10月28日,365円買い,2010年12月29日,446円売り,81円,22.19%(1.22倍)
(株)トクヤマ,4043,東証1部,化学,2010年7月1日,388円買い,2010年8月19日,474円売り,86円,22.16%(1.22倍)
(株)アークス,9948,東証1部,小売業,2010年11月1日,1034円買い,2010年12月30日,1263円売り,229円,22.15%(1.22倍)
(株)長府製作所,5946,東証1部,金属製品,2010年11月1日,1554円買い,2010年12月16日,1898円売り,344円,22.14%(1.22倍)
東京計器(株),7721,東証1部,精密機器,2010年8月17日,104円買い,2010年12月20日,127円売り,23円,22.12%(1.22倍)
(株)スタジオアリス,2305,東証1部,サービス業,2010年11月2日,662円買い,2010年12月22日,808円売り,146円,22.05%(1.22倍)
(株)ファミリーマート,8028,東証1部,小売業,2010年3月9日,2712円買い,2010年4月23日,3310円売り,598円,22.05%(1.22倍)
(株)三越伊勢丹ホールディングス,3099,東証1部,小売業,2010年7月22日,812円買い,2010年11月19日,991円売り,179円,22.04%(1.22倍)
ヤマハ(株),7951,東証1部,その他製品,2010年8月31日,862円買い,2010年12月9日,1052円売り,190円,22.04%(1.22倍)
大日本住友製薬(株),4506,東証1部,医薬品,2010年7月20日,626円買い,2010年11月22日,764円売り,138円,22.04%(1.22倍)
ナカバヤシ(株),7987,東証1部,その他製品,2010年11月2日,150円買い,2010年12月30日,183円売り,33円,22%(1.22倍)
(株)ビー・エム・エル,4694,東証1部,サービス業,2010年8月2日,1877円買い,2010年12月29日,2290円売り,413円,22%(1.22倍)
西部電気工業(株),1937,東証1部,建設業,2010年10月29日,291円買い,2010年12月22日,355円売り,64円,21.99%(1.22倍)
(株)ホウスイ,1352,東証1部,卸売業,2010年10月29日,91円買い,2010年12月16日,111円売り,20円,21.98%(1.22倍)
サカタインクス(株),4633,東証1部,化学,2010年8月24日,346円買い,2010年12月16日,422円売り,76円,21.97%(1.22倍)
(株)インテージホールディングス,4326,東証1部,情報・通信業,2010年2月5日,738円買い,2010年4月30日,900円売り,162円,21.95%(1.22倍)
三浦工業(株),6005,東証1部,機械,2010年8月31日,1782円買い,2010年12月29日,2173円売り,391円,21.94%(1.22倍)
ナガイレーベン(株),7447,東証1部,卸売業,2010年1月7日,914.5円買い,2010年3月30日,1115円売り,200.5円,21.92%(1.22倍)
サッポロホールディングス(株),2501,東証1部,食料品,2010年11月1日,315円買い,2010年12月16日,384円売り,69円,21.9%(1.22倍)
三井金属,5706,東証1部,非鉄金属,2010年7月22日,224円買い,2010年12月9日,273円売り,49円,21.88%(1.22倍)
(株)パソナグループ,2168,東証1部,サービス業,2010年8月11日,517円買い,2010年12月7日,630円売り,113円,21.86%(1.22倍)
東洋精糖(株),2107,東証1部,食料品,2010年11月2日,87円買い,2010年12月22日,106円売り,19円,21.84%(1.22倍)
東京製鐵(株),5423,東証1部,鉄鋼,2010年11月2日,783円買い,2010年12月14日,954円売り,171円,21.84%(1.22倍)
(株)ＷＯＷＯＷ,4839,東証1部,情報・通信業,2010年10月20日,1214円買い,2010年12月14日,1479円売り,265円,21.83%(1.22倍)
久光製薬(株),4530,東証1部,医薬品,2010年1月4日,3005円買い,2010年4月12日,3660円売り,655円,21.8%(1.22倍)
太平電業(株),1968,東証1部,建設業,2010年8月25日,560円買い,2010年12月21日,682円売り,122円,21.79%(1.22倍)
ＴＯＡ(株),6809,東証1部,電気機器,2010年10月29日,377円買い,2010年12月15日,459円売り,82円,21.75%(1.22倍)
(株)ハピネット,7552,東証1部,卸売業,2010年11月2日,446円買い,2010年12月29日,543円売り,97円,21.75%(1.22倍)
愛知時計電機(株),7723,東証1部,精密機器,2010年11月17日,189円買い,2010年12月13日,230円売り,41円,21.69%(1.22倍)
(株)住友倉庫,9303,東証1部,倉庫運輸関連,2010年2月9日,383円買い,2010年5月14日,466円売り,83円,21.67%(1.22倍)
アルパイン(株),6816,東証1部,電気機器,2010年9月1日,956円買い,2010年12月20日,1163円売り,207円,21.65%(1.22倍)
高島(株),8007,東証1部,卸売業,2010年10月28日,111円買い,2010年12月22日,135円売り,24円,21.62%(1.22倍)
(株)バンダイナムコホールディングス,7832,東証1部,その他製品,2010年10月12日,732円買い,2010年12月15日,890円売り,158円,21.58%(1.22倍)
田辺三菱製薬(株),4508,東証1部,医薬品,2010年1月12日,1158円買い,2010年10月4日,1407円売り,249円,21.5%(1.22倍)
キヤノンマーケティングジャパン(株),8060,東証1部,卸売業,2010年11月1日,986円買い,2010年11月29日,1198円売り,212円,21.5%(1.22倍)
リンナイ(株),5947,東証1部,金属製品,2010年2月8日,4225円買い,2010年9月1日,5130円売り,905円,21.42%(1.21倍)
住友化学(株),4005,東証1部,化学,2010年11月2日,332円買い,2010年12月29日,403円売り,71円,21.39%(1.21倍)
京成電鉄(株),9009,東証1部,陸運業,2010年2月10日,487円買い,2010年4月7日,591円売り,104円,21.36%(1.21倍)
能美防災(株),6744,東証1部,電気機器,2010年11月8日,436円買い,2010年12月30日,529円売り,93円,21.33%(1.21倍)
(株)ゼンリン,9474,東証1部,情報・通信業,2010年11月1日,821円買い,2010年12月16日,996円売り,175円,21.32%(1.21倍)
(株)ヤオコー,8279,東証1部,小売業,2010年10月28日,2168円買い,2010年12月15日,2630円売り,462円,21.31%(1.21倍)
すてきナイスグループ(株),8089,東証1部,卸売業,2010年11月2日,155円買い,2010年12月17日,188円売り,33円,21.29%(1.21倍)
(株)三菱ＵＦＪフィナンシャル・グループ,8306,東証1部,銀行業,2010年11月1日,367円買い,2010年12月29日,445円売り,78円,21.25%(1.21倍)
ゼリア新薬工業(株),4559,東証1部,医薬品,2010年1月7日,770.91円買い,2010年9月17日,934.55円売り,163.64円,21.23%(1.21倍)
(株)ジャステック,9717,東証1部,情報・通信業,2010年1月7日,457円買い,2010年4月12日,554円売り,97円,21.23%(1.21倍)
古野電気(株),6814,東証1部,電気機器,2010年10月21日,330円買い,2010年12月29日,400円売り,70円,21.21%(1.21倍)
東京テアトル(株),9633,東証1部,サービス業,2010年11月1日,99円買い,2010年12月29日,120円売り,21円,21.21%(1.21倍)
サンコール(株),5985,東証1部,金属製品,2010年5月26日,326円買い,2010年12月17日,395円売り,69円,21.17%(1.21倍)
(株)さが美,8201,東証1部,小売業,2010年10月26日,104円買い,2010年12月16日,126円売り,22円,21.15%(1.21倍)
(株)豊田自動織機,6201,東証1部,輸送用機器,2010年8月31日,2111円買い,2010年12月15日,2556円売り,445円,21.08%(1.21倍)
大黒天物産(株),2791,東証1部,小売業,2010年6月9日,2420円買い,2010年11月9日,2930円売り,510円,21.07%(1.21倍)
ホーチキ(株),6745,東証1部,電気機器,2010年11月4日,356円買い,2010年12月29日,431円売り,75円,21.07%(1.21倍)
(株)高松コンストラクショングループ,1762,東証1部,建設業,2010年6月9日,926円買い,2010年10月5日,1121円売り,195円,21.06%(1.21倍)
日本信号(株),6741,東証1部,電気機器,2010年10月21日,537円買い,2010年12月29日,650円売り,113円,21.04%(1.21倍)
天馬(株),7958,東証1部,化学,2010年11月2日,761円買い,2010年12月15日,921円売り,160円,21.02%(1.21倍)
豊田合成(株),7282,東証1部,輸送用機器,2010年11月2日,1654円買い,2010年12月15日,2001円売り,347円,20.98%(1.21倍)
日本金銭機械(株),6418,東証1部,機械,2010年11月2日,572円買い,2010年12月20日,692円売り,120円,20.98%(1.21倍)
(株)中電工,1941,東証1部,建設業,2010年11月2日,825円買い,2010年12月16日,998円売り,173円,20.97%(1.21倍)
(株)フジ,8278,東証1部,小売業,2010年8月11日,1520円買い,2010年12月20日,1838円売り,318円,20.92%(1.21倍)
(株)関電工,1942,東証1部,建設業,2010年11月11日,464円買い,2010年12月21日,561円売り,97円,20.91%(1.21倍)
(株)植木組,1867,東証1部,建設業,2010年9月1日,110円買い,2010年12月27日,133円売り,23円,20.91%(1.21倍)
ヤマト　インターナショナル(株),8127,東証1部,繊維製品,2010年5月27日,316円買い,2010年12月13日,382円売り,66円,20.89%(1.21倍)
(株)関西アーバン銀行,8545,東証1部,銀行業,2010年9月9日,120円買い,2010年10月14日,145円売り,25円,20.83%(1.21倍)
(株)沖縄銀行,8397,東証1部,銀行業,2010年7月30日,2789円買い,2010年11月18日,3370円売り,581円,20.83%(1.21倍)
カメイ(株),8037,東証1部,卸売業,2010年10月22日,327円買い,2010年12月29日,395円売り,68円,20.8%(1.21倍)
(株)マルエツ,8178,東証1部,小売業,2010年11月2日,274円買い,2010年12月21日,331円売り,57円,20.8%(1.21倍)
(株)テーオーシー,8841,東証1部,不動産業,2010年8月13日,303円買い,2010年10月7日,366円売り,63円,20.79%(1.21倍)
三菱製紙(株),3864,東証1部,パルプ・紙,2010年11月2日,82円買い,2010年12月16日,99円売り,17円,20.73%(1.21倍)
日本化学工業(株),4092,東証1部,化学,2010年8月20日,174円買い,2010年12月17日,210円売り,36円,20.69%(1.21倍)
三洋工業(株),5958,東証1部,金属製品,2010年10月29日,92円買い,2010年12月9日,111円売り,19円,20.65%(1.21倍)
前田道路(株),1883,東証1部,建設業,2010年11月2日,552円買い,2010年12月16日,666円売り,114円,20.65%(1.21倍)
(株)スペース,9622,東証1部,サービス業,2010年10月29日,499円買い,2010年12月20日,602円売り,103円,20.64%(1.21倍)
片倉チッカリン(株),4031,東証1部,化学,2010年11月1日,223円買い,2010年12月9日,269円売り,46円,20.63%(1.21倍)
(株)秀英予備校,4678,東証1部,サービス業,2010年11月4日,311円買い,2010年12月30日,375円売り,64円,20.58%(1.21倍)
(株)北越銀行,8325,東証1部,銀行業,2010年11月2日,141円買い,2010年12月29日,170円売り,29円,20.57%(1.21倍)
(株)昭文社,9475,東証1部,情報・通信業,2010年8月23日,530円買い,2010年12月15日,639円売り,109円,20.57%(1.21倍)
新日鐵住金(株),5401,東証1部,鉄鋼,2010年11月2日,253円買い,2010年12月14日,305円売り,52円,20.55%(1.21倍)
ダイコク電機(株),6430,東証1部,機械,2010年11月2日,882円買い,2010年12月13日,1063円売り,181円,20.52%(1.21倍)
光村印刷(株),7916,東証1部,その他製品,2010年10月29日,239円買い,2010年12月30日,288円売り,49円,20.5%(1.21倍)
日立工機(株),6581,東証1部,機械,2010年11月2日,659円買い,2010年12月17日,794円売り,135円,20.49%(1.2倍)
トッパン・フォームズ(株),7862,東証1部,その他製品,2010年11月2日,708円買い,2010年12月16日,853円売り,145円,20.48%(1.2倍)
東急建設(株),1720,東証1部,建設業,2010年8月16日,215円買い,2010年11月18日,259円売り,44円,20.47%(1.2倍)
(株)サンリツ,9366,東証1部,倉庫運輸関連,2010年2月19日,518円買い,2010年3月30日,624円売り,106円,20.46%(1.2倍)
日油(株),4403,東証1部,化学,2010年8月20日,338円買い,2010年12月21日,407円売り,69円,20.41%(1.2倍)
第一三共(株),4568,東証1部,医薬品,2010年7月20日,1535円買い,2010年11月29日,1848円売り,313円,20.39%(1.2倍)
(株)ＡＯＩ　Ｐｒｏ．,9607,東証1部,情報・通信業,2010年10月29日,393円買い,2010年12月30日,473円売り,80円,20.36%(1.2倍)
ソフトバンク・テクノロジー(株),4726,東証1部,情報・通信業,2010年11月2日,560円買い,2010年12月22日,674円売り,114円,20.36%(1.2倍)
(株)フジミインコーポレーテッド,5384,東証1部,ガラス土石製品,2010年11月2日,1072円買い,2010年12月14日,1290円売り,218円,20.34%(1.2倍)
(株)カネカ,4118,東証1部,化学,2010年11月2日,482円買い,2010年12月14日,580円売り,98円,20.33%(1.2倍)
コクヨ(株),7984,東証1部,その他製品,2010年11月1日,605円買い,2010年12月21日,728円売り,123円,20.33%(1.2倍)
(株)大林組,1802,東証1部,建設業,2010年10月5日,315円買い,2010年12月21日,379円売り,64円,20.32%(1.2倍)
三機工業(株),1961,東証1部,建設業,2010年11月2日,478円買い,2010年12月21日,575円売り,97円,20.29%(1.2倍)
(株)千葉興業銀行,8337,東証1部,銀行業,2010年11月30日,429円買い,2010年12月22日,516円売り,87円,20.28%(1.2倍)
(株)ダイセル,4202,東証1部,化学,2010年8月25日,500円買い,2010年12月14日,601円売り,101円,20.2%(1.2倍)
ＮＥＣ,6701,東証1部,電気機器,2010年8月25日,208円買い,2010年12月22日,250円売り,42円,20.19%(1.2倍)
(株)学情,2301,東証1部,サービス業,2010年11月2日,259円買い,2010年12月14日,311円売り,52円,20.08%(1.2倍)
(株)新日本科学,2395,東証1部,サービス業,2010年11月2日,339円買い,2010年12月14日,407円売り,68円,20.06%(1.2倍)
(株)ＫＡＤＯＫＡＷＡ,9477,東証1部,情報・通信業,2010年7月30日,1805円買い,2010年12月29日,2167円売り,362円,20.06%(1.2倍)
(株)愛知銀行,8527,東証1部,銀行業,2010年10月27日,4400円買い,2010年12月16日,5280円売り,880円,20%(1.2倍)
(株)エー・アンド・デイ,7745,東証1部,精密機器,2010年11月2日,305円買い,2010年12月14日,366円売り,61円,20%(1.2倍)
アークランドサカモト(株),9842,東証1部,小売業,2010年10月29日,844円買い,2010年12月20日,1012円売り,168円,19.91%(1.2倍)
ディップ(株),2379,東証1部,サービス業,2010年10月15日,221円買い,2010年12月27日,265円売り,44円,19.91%(1.2倍)
因幡電機産業(株),9934,東証1部,卸売業,2010年10月27日,1930円買い,2010年12月21日,2314円売り,384円,19.9%(1.2倍)
(株)高島屋,8233,東証1部,小売業,2010年11月2日,603円買い,2010年12月21日,723円売り,120円,19.9%(1.2倍)
(株)ダイヘン,6622,東証1部,電気機器,2010年8月25日,337円買い,2010年12月17日,404円売り,67円,19.88%(1.2倍)
ソーダニッカ(株),8158,東証1部,卸売業,2010年1月4日,308円買い,2010年3月26日,369円売り,61円,19.81%(1.2倍)
エイチ・ツー・オー　リテイリング(株),8242,東証1部,小売業,2010年8月31日,505円買い,2010年12月29日,605円売り,100円,19.8%(1.2倍)
